14963
a	a.一,一个,一只,一件.
suspicion	n.猜疑,怀疑
suspicious	a.怀疑的
suspiciously	ad.猜疑地,可疑地
sustain	v.承受,支持,经受,维持
sustained	a.持久的,经久不衰的
sustenance	n.生计,食物
suture	n.缝合,缝合处,缝合用的线v.缝合
svelte	a.苗条的,体态娇美的
swab	擦净
swag	n.摇动(松垂,挠度,洼地)vt摇动(松垂,挠度,洼地)
swagger	v.大摇大摆地走
swain	n.情郎,乡下的年轻人
swallow	n.燕子vt.吞下,咽下,忍受vi.咽口水
swam	v.游泳
swamp	n.沼泽,湿地v.淹没,陷于沼泽
swampland	n.沼泽地(低湿地)
swampy	a.沼泽的,沼泽多的,湿地的
swan	n.天鹅vi.闲荡,游荡
swank	v.夸耀,炫耀
swansea	斯旺西[英国威尔士南部港市](西格拉摩根郡首府)
swap	v.&n.交换vt.交换,用...作交易
swarm	n.蜂窝v.云集、充满
swarming	分蜂群群飞分蜂群居
swarthy	a.黑黝黝的,浅黑的
swathe	v.紧绑
sway	n.摇,影响力,支配v.使摇动,支配
swear	v.发誓,宣誓,咒骂
sweat	n.汗v.出汗
sweatband	n.(运动时系在额上或手腕上的)吸汗巾
sweater	n.毛衣
sweatshop	n.血汗工厂(工作条件恶劣而工资低的)
sweaty	a.汗流浃背的,热得令人发汗的
swede	n.瑞典人n.瑞典甘蓝，一种黄色大头菜
sweden	n.瑞典
swedish	n.瑞典人,瑞典语a.瑞典的,瑞典人的,瑞典语的
sweep	n.扫除,席卷,范围v.扫除,用手指弹,掠过
sweeper	n.清扫夫
sweeping	n.扫除,废屑a.一扫而去的,凶猛的,广泛的vbl.扫除,打扫
sweet	a.甜的,可爱的,悦耳的n.糖果,甜点
sweet	potato白薯,山芋
sweeten	v.使甜,变舒适,净化
sweetener	n.使变甜的东西,甜味剂
sweetening	n.变甜,使变甜之物
sweetheart	n.情人,爱人v.爱慕,求爱
sweetly	ad.甜美地
sweetness	n.美味,芳香,美妙
sweets	糖果
swell	n.增大,隆起的部分,巨浪a.优秀的,上流的v.增大,使...膨胀,积聚
swelling	v.膨胀(泡胀)a.膨胀的(增大的)
swelter	v.汗流浃背vi.酷热
sweltering	a.酷热的
swept	sweep的过去式(分词)
swerve	vi.1.突然转向;转弯;偏离方向2.背离[(+from)]vt.1.使突然转向;使转弯2.使背离[(+from)]n.[C]1.转向;偏离方向2.偏离的程度
swift	a.快的,迅速的ad.快速地n.雨燕
swiftly	ad.很快地,即刻
swiftness	n.迅速,敏捷
swig	n.大喝,吞咽v.豪饮,大口地喝
swill	v.冲洗,痛饮
swim	游泳
swimmer	n.游泳者
swimming	n.游泳
swimsuit	n.(整身的)女式游泳衣
swindle	vt.诈取(骗取,骗局)n.诈取(骗取,骗局)
swine	n.猪
swing	n.摇摆,改变,冲力v.摇摆,使...旋转,动摇
swinger	乱搞男女关系的人；赶时髦的人
swipe	n.猛击,重击vt.重击,猛打
swirl	n.漩涡,涡状形v.使成漩涡,头晕
swirling	a.打旋的
swish	v.发出嗖嗖声
swiss	a.瑞士的n.瑞士人
switch	n.开关,转换,接通或切断…电流,转动v.转变,切换,摆动
switchboard	n.配电盘,接线总机
switchyard	n.调车场
switzerland	n.瑞士
swivel	v.(使)旋转,(使)回旋
swollen	a.肿大的,水涨的vbl.使变大,肿胀
swoon	vi.&n.昏晕,晕倒
swoop	n.俯冲,攫取v.抓取,突然袭击
sword	n.剑,刀
swore	swear的过去式
sworn	swear的过去分词
swot	n.刻苦学习的人v.苦读
swung	swing的过去式(分词)
sybarite	(C)(文语)沉于奢侈逸乐者,爱奢侈享乐的人
sybil	n.女巫,女相命家
sycamore	n.枫树,美国梧桐
sycophant	n.马屁精
sycophantic	a.说奉承话的,阿谀的
sydney	n.悉尼
syllabary	n.音节表,(日语的)假名表
syllable	n.音节
syllabus	n.摘要,课程表
syllogism	n.三段论法,推论法,演绎
sylvan	a.多林木的,森林的
symbiosis	n.共生,共栖
symbiotic	a.共栖的,共生的
symbol	n.符号,标志,象征
symbolic	n.代号a.象征的,符号的
symbolical	a.象征性的
symbolically	ad.象征地,象征性地
symbolism	n.象征,记号
symbolize	v.象征,用记号表现
symmetric	a.对称的
symmetrical	a.对称的
symmetrically	ad.对称地
symmetry	n.对称(性),匀称,整齐
sympathetic	a.同情的,共鸣的
sympathetically	ad.同情地
sympathize	v.同情,同感
sympathizer	n.同情者,同感者,同意者
sympathy	n.同情
symphonic	a.交响乐的,交响性的,交响乐的
symphony	n.交响乐
symposium	n.讨论会(论文集,洒会)
symptom	n.症状,征兆
symptomatic	a.具有征候的,征候的,根据征候的
synapse	n.突触
sync	同步
synchronization	同步化
synchronize	v.使同时,同时发生
synchronous	a.同时的,同步的
synchronously	ad.同时地,同步地
synchrotron	n.同步加速器(同步回旋加速器)
syncopate	v.词中省略,缩写
syndicate	n.企业联合v.联合组织
syndrome	n.综合症
synergic	a.协作的(合作的)
synergistic	协同的,协作的
synergy	n.增效作用,协同作用
synonym	n.同义词
synonymous	a.同义的
synopsis	n.摘要,概要
synoptic	a.摘要的,高瞻远瞩的
syntactic	语法的,句法的
syntactical	a.[语]依照句法的
syntax	n.句法
synthesis	n.合成,综合
synthesize	v.合成
synthesizer	n.合成器(综合器)
synthetic	a.合成的,人造的n.人工制品
synthetics	n.化学合成物
syphon	n.弯管,吸水管
syria	n.叙利亚[亚洲]
syrian	n.&a.叙利亚人(的)
syringe	n.注射器
syrup	n.糖浆
system	n.系统,体系,制度,体制
systematic	a.有系统的,分类的,体系的
systematically	ad.有系统地,有组织地,有条理地
systematize	v.组织起来,体系化
systemic	a.全身的,系统的
szechwan	n.四川省
tab	(tabulate)制表
tabernacle	n.临时住房,帐篷
table	n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表
table	salt精制食盐
tableau	n.画面,活人画(舞台上活人扮的静态画面)
tablecloth	n.桌布,台布
tableland	n.高原(台地,海台)
tablespoon	n.汤匙(一汤匙容量)
tablespoonful	n.一满匙
tablet	n.药片,匾
tabletop	n.桌面
tabloid	n.小型报,小型画报,药片a.扼要的
taboo	n.禁忌,禁止接近,禁止使用a.禁忌的v.禁忌,禁制,禁止
tabor	vi.&n.(敲)手鼓
tabs	跳格设定,制表符
tabular	a.制成表的,扁平的
tabulate	v.作成表,作成一览表,使成平面a.平板状的,平面的
tabulator	制表机,跳格键
tachometer	转速计
tacit	a.心照不宣的
tacitly	ad.肃静地,沉默地
taciturn	a.沉默寡言的
tack	n.大头钉,行动方针v.以大头针钉住,附加,跟随
tackle	n.工具,复滑车,扭倒v.处理,抓住
tacky	a.发粘的,胶粘的,寒酸的
taco	n.墨西哥煎玉米卷
tact	n.机智,手法
tactful	a.机智的,老练的
tactfully	ad.机智地
tactic	n.战略,策略
tactical	a.战术上的,战术性的,足智多谋的
tactics	n.策略,战术
tactile	a.触觉的,有触觉的,能触知的
tactless	a.无机智的,不机敏的,不得体的
tadpole	n.蝌蚪
tag	n.标签,附属物,名称v.附以签条,尾随,添饰n.标记,标记符
tahiti	n.塔希提岛(南太平洋)
tail	n.尾部,后部,辫子;跟踪者a.在后面的,从后面而来的v.附于其后,尾随,逐渐消失
tailed	[通常构成复合词]有...(状)尾的
tailgate	尾板,后档板
tailor	n.裁缝师,成衣匠v.缝制,做裁缝,使...适应
tailoring	n.裁缝业,缝工
tailor-made	a.(指衣服)定做的
tails	n.(硬币的)反面
tailwind	n.顺风
taint	n.污点,耻辱,感染v.污染,中毒
tainted	a.感染的,污染的
taipei	n.台北
taiwan	n.台湾
take	v.(took,taken)拿,取v.修(课程),花费,记录,认为,搭乘
takeaway	卖出外吃的外卖饭菜的
take-away	n.&a.(可带走的)熟食
taken	take的过去分词
takeout	a.供顾客带出外吃的,外卖的食物
takeover	n.接收(验收)
taker	n.接受者,收受者,取者
taking	n.取得,捕获,售得金额a.迷人的,可爱的,会传染的vbl.拿,捕捉,夺取
takings	进款,利息,收入
tale	n.传说,故事
talebearer	n.散布谣言者
talent	n.才能,人才,天资
talented	a.有才能的(多才的)
talisman	n.避邪物,护身符
talk	n.谈话,会谈,讲话v.说话,谈话,讨论
talkathon	n.冗长的演说
talkative	a.喜欢说话的,饶舌的,多嘴的
talker	n.说话的人,健谈者
tall	a.高的
tallow	n.脂,[尤指]兽脂
tally	n.标签(手执计数器,对应物)vt计算(记录)
talon	n.爪,猛抓的手,鸽胸雕花
tambourine	n.小手鼓
tame	a.驯服的,柔顺的,乏味的v.驯养,使...驯服
tameness	n.开化,驯服
tamer	n.驯养人
tamp	v.捣实,砸实vt.夯实
tamper	v.干预,玩弄,贿赂
tampering	a.干预的,干涉的
tan	n.鞣制革,黄褐色a.黄褐色的v.晒黑
tandem	串联
tangent	a.接触的,切线的,相切的n.切线,正切
tangential	a.切线的,相切的,正接的
tangerine	n.橘子
tangibility	n.确实性,确切性,真实性
tangible	n.有形资产a.实体的,明白的
tangibly	ad.可触知地,明白地
tangle	n.缠结,混乱,海澡类v.使缠结,纠纷
tango	n.探戈舞,其舞曲v.跳探戈舞
tangy	a.强烈的,扑鼻的
tank	n.水槽,池塘,战车v.储于槽中
tanker	n.油轮
tanner	n.制革工人
tannin	n.单宁酸
tantalize	v.逗惹v.吊胃口，令人可望而不可及
tantalizing	a.诱人的
tantamount	a.同等的,相等的,相当于
tantrum	n.发脾气,发怒
tanyard	n.硝皮厂,制革厂
tanzania	n.坦桑尼亚
taoism	n.道教
taoist	n.道教信徒
tap	n.轻打,水龙头v.轻打,轻敲,装上嘴子
tape	n.录像带,录音带,磁带,带子v.以带子绑起
taper	n.小蜡烛,尖细,渐弱a.尖细的v.逐渐变小
tapestry	n.挂毯v.饰以织锦画
tapeworm	n.条虫
tapir	n.貊
taproot	n.直根,主根
tar	n.焦油,柏油,水手v.涂以焦油
tarantula	n.一种大而有毒的蜘蛛
tardiness	n.慢,缓慢,迟延
tardy	a.缓慢的,迟缓的
tare	n.野碗豆,毒麦,害毒v.量皮重
target	n.靶,目标vt.把...作为目标塔吉特(财富500强公司之一，总部所在地美国,主要经营零售)
tariff	n.关税
tarmac	n.柏油路面材料(铺地用沥青,柏油碎石路)；柏油碎石铺成的地面（尤指停机坪）
tarn	n.小湖
tarnish	n.晦暗,生锈,污点v.使生锈,沾污
taro	n.芋头
tarpaulin	n.涂焦油防水布,防水衣,防水帽
tarry	v.耽搁,延迟vi.踌躇,耽搁,等候
tart	a.酸的,锋利的n.水果蛋糕,果馅饼
tartan	n.(苏格兰)格子呢绒
task	n.工作,任务
tasmania	n.塔斯马尼亚(岛)
tassel	n.流苏v.加缨,摘下...穗须
taste	n.味道,品味,味觉v.尝,体会
tasteful	a.有滋味的,好吃的
tasteless	a.无味的
tastily	ad.美味地
tasty	a.好吃的
tatami	n.<日>榻榻米(日本人铺在室内地板上的稻草垫)
tatter	n.[pl.]破布,碎纸
tatterdemalion	n.衣衫褴褛的人
tattered	a.破烂的,穿破烂衣的
tattle	v.闲谈,泄密
tattoo	n.&vt.（在皮肤上）刺图案，纹身
tatty	a.不整洁的,简陋的
taught	v.教,教授vbl.教,教授
taunt	n.辱骂,嘲弄v.嘲弄
taut	a.拉紧的,整洁的,紧张的
tautological	a.重复的
tautology	n.无谓的重复n.恒真
tavern	n.酒馆,客栈
tawdry	a.廉价而俗丽的,非常华丽的n.廉价而俗丽之物
tawny	a.黄褐色的,茶色的n.黄褐色
tax	n.税,租税,重负v.课以税,使...负重荷,斥责
taxation	n.课税,徵税,租税
taxi	n.计程车,出租汽车v.乘计程车
taxicab	n.出租汽车
taxing	a.繁重的,费力的
taxonomy	n.(动植物的)分类学
taxpayer	n.纳税人
taylor	n.泰勒
tb	n.肺结核（病）
tea	N.茶.茶叶.茶树.茶点VT.给.....沏茶VI.喝茶.进茶点
teach	v.教,教书,教导
teachable	a.可教的
teacher	n.教师
teaching	n.教学,教义vbl.教
teachings	n.学说,主义,教义
teacup	n.茶杯
teahouse	n.茶室
teal	n.水鸭
team	n.队,组v.协同工作
teammate	n.队友
teamwork	n.合作,协同工作
teapot	n.茶壶
tear	n.眼泪,撕破v.流泪,撕破
tearful	a.含泪的,悲伤的
tears	眼泪泪液泪水
tease	n.揶揄者,戏弄v.欺负,嘲弄
teaspoon	n.茶匙
teaspoonful	n.一茶匙容量
teat	n.奶嘴,奶头
technical	a.工艺的,技术的
technicality	n.技术细节,技术性,术语,专门事项
technically	ad.技术上,学术上,专门地
technician	n.技术员,技师
technique	n.技术
technocracy	n.专家政治论
technocrat	n.技术人员,技术统治
technological	a.科技的
technologically	ad.技术上地
technologist	n.技术专家
technology	n.技术,工艺
tectonic	a.筑造的,建筑的,构造的
tectonics	n.筑造学,构造学,构造地质学
ted	vt.翻晒,撒,撒开
teddy	n.妇女连衫裤,泰迪(熊)
tedious	a.沉闷的,单调乏味的
tedium	n.单调乏味
tee	n.(高尔夫球)发球的球座
teem	v.充满,富于
teeming	a.丰富的
teen	n.(=teenager)13岁到19岁的年轻人
teenage	a.青少年的(十三到十九岁的)
teenager	n.13岁到19岁的年轻人
teens	n.青少年(十多岁,少年)
teeny	a.极小的(微小的)
teeter	a.摇摆,摇摇欲坠,踌躇,犹豫不决
teeth	n.牙齿
teethe	vi.长(新)牙
teetotal	a.滴酒不沾的
teheran	n.德黑兰(伊朗首都)
telecommunication	n.电传视讯,远距离通信,电磁通信
telecommunications	通信学电讯
telecommute	vi.(在家里通过使用与工作单位连接的计算机终端)远距离工作
telecommuting	远程联机,远程交换
teleconference	n.(通过电话、电视等的)电讯会议
telegram	n.电报vt用电报发送(打电报)
telegraph	n.电报,电报机v.打电报,显示
telegrapher	n.报务员,电报员
telegraphy	n.电报
telemarketing	n.电话销售,电话推销
telemeter	遥测计
teleology	n.目的论
telepathy	n.心灵感应,精神感应
telephone	打电话
telephotography	n.远距离照相术,传真电报术
teleprinter	电传打印机
teleprocessing	远程处理
telescope	n.望远镜v.缩短,压缩
teletext	文字电视广播
teletype	电传打字机,电报交换机
teletypewriter	电传打字机
televise	v.用电视播放,用电视放映vt.用电视播放
television	n.电视
telex	n.电传v.发电传
tell	v.告诉,分辨，辨别
teller	n.讲话著,告诉的人,出纳员
telling	a.有效的,显著的vbl.告诉,讲
telltale	a.泄密的
telly	n.电视
temblor	n.地震
temerarious	a.鲁莽的
temerity	n.卤莽,蛮勇
temp	n.温度(回过火的,样板,暂时的)
temper	n.脾气,调剂,趋向v.锻练,调剂,缓和
tempera	n.涂料混上蛋白或其他物质的画法
temperament	n.气质,性质,性情
temperamental	a.性情的,喜怒无常的
temperance	a.温暖的,温和的,有节制的
temperate	a.温和的,适度的,有节制的
temperature	n.温度
tempest	n.暴风雨,骚动
tempestuous	a.有暴风雨的,暴乱的
template	模板,样板
temple	n.庙宇,寺院n.太阳穴
tempo	n.拍子,速率
temporal	a.当时的,暂时的,现世的
temporarily	a.临时的ad.暂时地,临时地
temporary	a.暂时的,临时的n.临时工
temporize	vt.投机(因循,拖延,应付,妥协,迎合潮流)
tempt	v.诱惑,引起,冒...之险
temptation	n.诱惑,引诱v.引,诱
tempting	a.诱惑人的vbl.诱惑
temptingly	ad.迷人地,诱惑地
ten	a.十,十个
tenable	a.站得住脚的,无懈可击的
tenacious	a.紧粘不放的,固执的,不屈不挠的
tenaciously	ad.坚韧不拔地,执着地
tenacity	n.固执,不屈不挠,顽固
tenancy	n.租用(占有)
tenant	n.房客,佃户
tend	v.有某种的倾向,易于,移向
tendency	n.趋势,倾向
tendentious	a.有支持某种立场的倾向,宣传性的
tender	a.温和的,亲切的,未成熟的vt.提供,投标
tenderfoot	n.生手,新手
tenderly	ad.柔软地(温和地)
tenderness	n.柔软,亲切,柔和
tendon	n.腱
tenebrous	a.黑暗的
tenement	n.房屋,住户,租户
tenet	n.教义,信条;原则,宗旨.
tennessee	n.田纳西州
tennis	n.网球
tenon	n.凸榫,榫舌
tenor	n.行程,路程,要旨a.男高音的n.[语]本体
tense	a.紧张的,拉紧的v.变为紧张,拉紧
tenseness	n.绷紧,紧张
tensile	a.可拉长的,可伸长的
tension	n.紧张,张力,拉力
tent	n.帐篷v.(住)帐篷,宿营
tentacle	n.(动物)触角
tentative	n.试验,假设a.试验性质的,暂时的,犹豫不决的
tentatively	ad.试验的
tenth	a.第十
tenuous	a.稀薄的,微细的贫乏的;平淡的;脆弱的,无力的
tenure	n.享有,保有时间
tepee	n.美国印地安人的圆锥形帐篷
tepid	a.微温的
tergiversation	n.变节,规避
term	n.学期,术语,名词,期限v.称,呼
termagant	n.悍妇,泼妇
terminable	a.可终止的
terminal	n.终端机,终点,末端a.终点的,按期的,致死的
terminally	ad.晚期地,致命地
terminate	a.有结尾的,有限的v.结束,终止,满期
terminating	使终结
termination	n.终止,结束
terminator	端子
terminology	n.用辞,术语
terminus	n.终点,终站,终点
termitarium	n.(=termitary)白蚁窝
termite	n.白蚁
terms	n.(复)措辞
tern	n.三个一套a.三个一套的
ternary	三进制的
terpsichorean	a.舞蹈的
terrace	n.平台,阳台,梯田v.使成阶地,使成梯田vt.使成梯田
terraced	a.(房屋)沿斜坡建造的
terrain	n.地带,地域,地形
terramycin	n.土霉素
terrapin	n.食用龟
terrarium	n.陆地动物饲养所,玻璃容器
terrestrial	n.地球上的人a.地球的,地上的
terrible	a.可怕的,糟糕的
terribly	ad.可怕地,甚为,非常地
terrier	n.一种活泼的小狗
terrific	a.极好的,非常的,极度的
terrified	a.恐惧的,受惊吓的
terrify	v.使恐怖
terrifying	a.极大的
territorial	a.领土的,土地的,地方的n.地方自卫队的士兵
territory	n.领土,版图,领域,范围
terror	n.恐怖
terrorism	n.恐怖统治,恐怖行动
terrorist	n.恐怖分子
terry	n.厚绒布
terse	a.简洁的,简明的
tertiary	a.第三的,第三位的,第三世纪的n.臂翼,第三重音,第三会员
tess	n.泰丝(Theresa的昵称)(f.)
tessellation	n.镶嵌装饰,棋盘形布置,镶嵌式铺装
test	n.测试,试验v.测试,试验,接受测验
testable	a.可试验的
testament	n.圣约,与神的誓约,圣约书
testator	n.立遗嘱之人
test-drive	v.试开
testify	v.证明,作证
testimonial	n.证明书,奖状
testimony	n.证言,证据
testing	n.测试a.吃力的,试验的vbl.尝试,测验
testosterone	n.男性荷尔蒙的一种
test-tube	n.试管
